graph_id,sheet_id,status,reason,n_rooms,n_doors,integrity_passed
APT_FP_e5ba6c1a_17434935_u1,APT_FP_e5ba6c1a_17434935,ok,,3,2,True
APT_FP_e5ba6c1a_17434935_u2,APT_FP_e5ba6c1a_17434935,ok,,5,4,True
APT_FP_e5ba6c1a_17434935_u3,APT_FP_e5ba6c1a_17434935,ok,,6,5,True
APT_FP_88cef5c9_17446927_u0,APT_FP_88cef5c9_17446927,ok,,2,1,True
APT_FP_88cef5c9_17446927_u1,APT_FP_88cef5c9_17446927,ok,,19,12,True
APT_FP_88cef5c9_17446927_u2,APT_FP_88cef5c9_17446927,ok,,2,1,True
APT_FP_88cef5c9_17446927_u3,APT_FP_88cef5c9_17446927,ok,,3,2,True
APT_FP_865ae1ba_17438443_u0,APT_FP_865ae1ba_17438443,ok,,10,8,True
APT_FP_865ae1ba_17438443_u1,APT_FP_865ae1ba_17438443,ok,,15,10,True
APT_FP_11fc3334_17447720_u0,APT_FP_11fc3334_17447720,ok,,17,11,True
APT_FP_11fc3334_17447720_u1,APT_FP_11fc3334_17447720,ok,,11,6,True
APT_FP_372ff705_17447720_u0,APT_FP_372ff705_17447720,ok,,14,8,True
APT_FP_372ff705_17447720_u1,APT_FP_372ff705_17447720,ok,,13,10,True
APT_FP_36a5199d_17446927_u0,APT_FP_36a5199d_17446927,ok,,10,4,True
APT_FP_36a5199d_17446927_u1,APT_FP_36a5199d_17446927,ok,,2,1,True
APT_FP_12b385e2_17446927_u0,APT_FP_12b385e2_17446927,ok,,13,10,True
APT_FP_12b385e2_17446927_u1,APT_FP_12b385e2_17446927,ok,,20,12,True
APT_FP_12b385e2_17446927_u2,APT_FP_12b385e2_17446927,ok,,20,12,True
APT_FP_12b385e2_17446927_u3,APT_FP_12b385e2_17446927,ok,,3,2,True
APT_FP_6ddd4794_17438514_u0,APT_FP_6ddd4794_17438514,ok,,2,1,True
APT_FP_793dd9ec_17434935_u0,APT_FP_793dd9ec_17434935,ok,,2,1,True
APT_FP_1904c5fe_17438443_u0,APT_FP_1904c5fe_17438443,ok,,7,6,True
APT_FP_1904c5fe_17438443_u1,APT_FP_1904c5fe_17438443,ok,,7,6,True
APT_FP_1904c5fe_17438443_u2,APT_FP_1904c5fe_17438443,ok,,6,5,True
APT_FP_1904c5fe_17438443_u3,APT_FP_1904c5fe_17438443,ok,,7,6,True
APT_FP_1904c5fe_17438443_u4,APT_FP_1904c5fe_17438443,ok,,2,1,True
APT_FP_bef8304d_17434935_u0,APT_FP_bef8304d_17434935,ok,,2,1,True
APT_FP_5af7cf9a_17446927_u0,APT_FP_5af7cf9a_17446927,ok,,3,2,True
,APT_FP_40166441_17446927,rejected,no_unit_with_entrance,17,,
APT_FP_2a4d75d1_17446927_u0,APT_FP_2a4d75d1_17446927,ok,,4,2,True
APT_FP_2a4d75d1_17446927_u1,APT_FP_2a4d75d1_17446927,ok,,2,1,True
APT_FP_9acf0e12_17438514_u0,APT_FP_9acf0e12_17438514,ok,,8,6,True
APT_FP_c8d78445_17447720_u0,APT_FP_c8d78445_17447720,ok,,14,7,True
APT_FP_c8d78445_17447720_u1,APT_FP_c8d78445_17447720,ok,,20,13,True
APT_FP_a9c06b63_17446927_u0,APT_FP_a9c06b63_17446927,ok,,3,2,True
APT_FP_a9c06b63_17446927_u1,APT_FP_a9c06b63_17446927,ok,,15,10,True
APT_FP_a9c06b63_17446927_u2,APT_FP_a9c06b63_17446927,ok,,4,3,True
APT_FP_a9c06b63_17446927_u3,APT_FP_a9c06b63_17446927,ok,,3,2,True
APT_FP_a05d1102_17438443_u0,APT_FP_a05d1102_17438443,ok,,4,3,True
APT_FP_a05d1102_17438443_u1,APT_FP_a05d1102_17438443,ok,,8,5,True
APT_FP_1f42c991_17446927_u0,APT_FP_1f42c991_17446927,ok,,2,1,True
APT_FP_8a36135c_17446927_u0,APT_FP_8a36135c_17446927,ok,,4,3,True
APT_FP_a57af4c0_17438514_u0,APT_FP_a57af4c0_17438514,ok,,5,3,True
APT_FP_6b37a644_17438514_u0,APT_FP_6b37a644_17438514,ok,,8,5,True
APT_FP_7a0d5d84_17441963_u0,APT_FP_7a0d5d84_17441963,ok,,9,8,True
APT_FP_26a93b84_17446927_u0,APT_FP_26a93b84_17446927,ok,,2,1,True
APT_FP_26a93b84_17446927_u1,APT_FP_26a93b84_17446927,ok,,6,4,True
APT_FP_26a93b84_17446927_u2,APT_FP_26a93b84_17446927,ok,,19,12,True
APT_FP_26a93b84_17446927_u3,APT_FP_26a93b84_17446927,ok,,2,1,True
APT_FP_64fd476b_17446927_u0,APT_FP_64fd476b_17446927,ok,,3,2,True
APT_FP_a6469db2_17446927_u0,APT_FP_a6469db2_17446927,ok,,3,2,True
APT_FP_a6469db2_17446927_u1,APT_FP_a6469db2_17446927,ok,,20,12,True
APT_FP_a6469db2_17446927_u2,APT_FP_a6469db2_17446927,ok,,3,2,True
APT_FP_a6469db2_17446927_u3,APT_FP_a6469db2_17446927,ok,,3,2,True
APT_FP_6f1bfcdf_17447720_u0,APT_FP_6f1bfcdf_17447720,ok,,2,1,True
APT_FP_ccd5488b_17438443_u0,APT_FP_ccd5488b_17438443,ok,,4,4,True
APT_FP_ccd5488b_17438443_u1,APT_FP_ccd5488b_17438443,ok,,4,3,True
APT_FP_2a43bd28_17438443_u0,APT_FP_2a43bd28_17438443,ok,,10,7,True
APT_FP_2a43bd28_17438443_u1,APT_FP_2a43bd28_17438443,ok,,4,3,True
APT_FP_7e6f8df1_17434935_u0,APT_FP_7e6f8df1_17434935,ok,,5,4,True
