graph_id,sheet_id,reason,n_rooms,program
APT_FP_b6994259_17446927_u2,APT_FP_b6994259_17446927,missing_essential:주방,12,실외기실:1;거실:1;현관:1;기타:2;발코니:1;화장실:2;드레스룸:1;침실:3
APT_FP_34336382_17456206_u0,APT_FP_34336382_17456206,missing_essential:주방,6,기타:1;침실:2;현관:1;화장실:1;거실:1
APT_FP_0de692a6_263013_u1,APT_FP_0de692a6_263013,"missing_essential:거실,화장실",3,주방:1;침실:1;현관:1
,APT_FP_ddb8a1e8_17446927,no_unit_with_entrance,14,
APT_FP_b64c3806_223495_u0,APT_FP_b64c3806_223495,"missing_essential:거실,침실,주방",2,화장실:1;현관:1
APT_FP_b64c3806_223495_u1,APT_FP_b64c3806_223495,"missing_essential:거실,침실,주방",2,현관:1;화장실:1
APT_FP_24a38da7_17446927_u1,APT_FP_24a38da7_17446927,missing_essential:주방,12,드레스룸:1;침실:3;기타:2;현관:1;실외기실:1;거실:1;발코니:1;화장실:2
APT_FP_24a38da7_17446927_u2,APT_FP_24a38da7_17446927,missing_essential:주방,12,발코니:1;화장실:2;드레스룸:1;침실:3;기타:2;현관:1;실외기실:1;거실:1
,APT_FP_779f4a57_337980,no_unit_with_entrance,20,
,APT_FP_6f47f844_316696,no_unit_with_entrance,16,
APT_FP_3ee1b043_17446927_u0,APT_FP_3ee1b043_17446927,missing_essential:주방,10,드레스룸:1;실외기실:1;거실:1;침실:3;화장실:2;현관:1;발코니:1
,APT_FP_bec528c1_314098,no_unit_with_entrance,17,
APT_FP_296fd168_17446927_u1,APT_FP_296fd168_17446927,missing_essential:주방,10,침실:3;현관:1;발코니:1;화장실:2;드레스룸:1;실외기실:1;거실:1
,APT_FP_765ccb75_368876,no_unit_with_entrance,18,
APT_FP_a488de72_366288_u0,APT_FP_a488de72_366288,"missing_essential:거실,침실,주방,화장실",2,기타:1;현관:1
APT_FP_dc509a2b_359194_u0,APT_FP_dc509a2b_359194,"missing_essential:거실,침실,주방,화장실",4,기타:3;현관:1
,APT_FP_64ce2e70_17446927,no_unit_with_entrance,16,
APT_FP_497e65c9_17434935_u0,APT_FP_497e65c9_17434935,missing_essential:거실,14,현관:1;침실:4;주방:1;발코니:2;다목적공간:1;드레스룸:1;기타:1;화장실:2;실외기실:1
APT_FP_9ff9c140_17446927_u2,APT_FP_9ff9c140_17446927,missing_essential:주방,12,실외기실:1;거실:1;기타:2;발코니:1;화장실:2;드레스룸:1;침실:3;현관:1
APT_FP_e8e1abc0_17446927_u3,APT_FP_e8e1abc0_17446927,missing_essential:주방,12,기타:2;실외기실:1;거실:1;발코니:1;화장실:2;드레스룸:1;침실:3;현관:1
APT_FP_8021ad11_17446927_u0,APT_FP_8021ad11_17446927,missing_essential:주방,11,화장실:2;침실:3;드레스룸:1;거실:1;현관:1;발코니:1;기타:1;실외기실:1
APT_FP_55337675_17446927_u2,APT_FP_55337675_17446927,missing_essential:주방,12,드레스룸:1;침실:3;기타:2;현관:1;실외기실:1;거실:1;발코니:1;화장실:2
,APT_FP_c8b03178_17434935,no_unit_with_entrance,17,
APT_FP_2248307b_17438514_u0,APT_FP_2248307b_17438514,missing_essential:주방,11,현관:1;화장실:2;드레스룸:1;침실:3;발코니:2;거실:1;기타:1
APT_FP_cb660147_17446927_u3,APT_FP_cb660147_17446927,missing_essential:주방,10,침실:3;발코니:1;현관:1;드레스룸:1;실외기실:1;거실:1;화장실:2
APT_FP_78f0ad3c_17446927_u2,APT_FP_78f0ad3c_17446927,missing_essential:주방,12,화장실:2;발코니:1;기타:2;거실:1;침실:3;현관:1;실외기실:1;드레스룸:1
APT_FP_8614ea22_17446927_u0,APT_FP_8614ea22_17446927,missing_essential:주방,10,거실:1;화장실:2;침실:3;현관:1;드레스룸:1;발코니:1;실외기실:1
APT_FP_5652b7d0_17446927_u3,APT_FP_5652b7d0_17446927,missing_essential:주방,12,실외기실:1;침실:3;발코니:1;거실:1;드레스룸:1;현관:1;화장실:2;기타:2
APT_FP_52180206_17446927_u3,APT_FP_52180206_17446927,missing_essential:주방,12,발코니:1;화장실:2;드레스룸:1;침실:3;기타:2;현관:1;실외기실:1;거실:1
,APT_FP_53e446f1_17434935,no_unit_with_entrance,17,
APT_FP_08c45394_17446927_u3,APT_FP_08c45394_17446927,missing_essential:주방,10,발코니:1;화장실:2;침실:3;드레스룸:1;실외기실:1;거실:1;현관:1
APT_FP_b7bcf395_17446927_u1,APT_FP_b7bcf395_17446927,missing_essential:주방,12,기타:2;침실:3;현관:1;실외기실:1;거실:1;발코니:1;화장실:2;드레스룸:1
APT_FP_b7bcf395_17446927_u2,APT_FP_b7bcf395_17446927,missing_essential:주방,12,침실:3;현관:1;거실:1;실외기실:1;드레스룸:1;기타:2;발코니:1;화장실:2
,APT_FP_485b505a_17434935,no_unit_with_entrance,21,
APT_FP_b04c4dce_17446927_u0,APT_FP_b04c4dce_17446927,"missing_essential:거실,침실,주방,화장실",2,기타:1;현관:1
,APT_FP_3d7ec172_17438514,no_unit_with_entrance,21,
,APT_FP_a2b94da0_17434935,no_unit_with_entrance,21,
APT_FP_07c81412_17456206_u0,APT_FP_07c81412_17456206,"missing_essential:주방,화장실",5,기타:1;침실:2;거실:1;현관:1
APT_FP_26c9deb5_17446927_u1,APT_FP_26c9deb5_17446927,missing_essential:주방,12,화장실:2;드레스룸:1;실외기실:1;발코니:1;거실:1;침실:3;기타:2;현관:1
APT_FP_4c471354_17446927_u3,APT_FP_4c471354_17446927,missing_essential:주방,12,드레스룸:1;침실:3;기타:2;현관:1;실외기실:1;거실:1;발코니:1;화장실:2
APT_FP_e4cf5d04_17434935_u3,APT_FP_e4cf5d04_17434935,missing_essential:주방,14,실외기실:1;드레스룸:2;침실:3;발코니:3;현관:1;기타:1;화장실:2;거실:1
