sheet_id,confidence,scale_mm_per_px,bedroom_med_m2
APT_FP_27a1d4f4_17447720,none,,
APT_FP_283356b1_17446927,low,4.8573,0.8
APT_FP_290dc81a_17446927,none,,
APT_FP_296f9c4c_17434935,low,6.1022,3.9
APT_FP_298405a1_17447720,low,3.5889,1.1
APT_FP_29e35b5e_17446927,none,,
APT_FP_2a31d8ae_17434935,none,,
APT_FP_2a365bc6_17447720,none,,
APT_FP_2a470f60_17447720,none,,
APT_FP_2a4d75d1_17446927,low,3.8287,0.5
APT_FP_2a620ed2_17446927,low,2.9947,0.4
APT_FP_2a7428e1_17438514,low,8.4748,16.8
APT_FP_2a8aed2c_17446941,none,,
APT_FP_2a8f9b2f_17434935,low,23.0076,129.4
APT_FP_2aa40f12_17446927,low,6.7804,17.1
APT_FP_2acdff02_17441963,none,,
APT_FP_2b199b93_17447720,low,3.6103,1.2
APT_FP_2b1db365_17434935,none,,
APT_FP_2b35b3f2_17446927,low,4.812,0.9
APT_FP_2bb1ff22_17438514,none,,
APT_FP_2bb79777_17446927,low,3.3063,0.7
APT_FP_2bb80c62_17446927,none,,
APT_FP_2c5a82d0_17446927,none,,
APT_FP_2c8cb889_17446927,low,4.4773,0.8
APT_FP_2cbf5a10_17446927,none,,
APT_FP_2d6ff887_17441963,none,,
APT_FP_2dbe6e76_17446927,low,5.1301,1.7
APT_FP_2e4f3f27_17446927,none,,
APT_FP_2e5949fc_17447720,none,,
APT_FP_2e757dea_17447720,low,9.7341,5.6
APT_FP_2ed61271_17447720,low,10.0319,3.8
APT_FP_2ee55031_17447720,none,,
APT_FP_2eea9df1_17441963,none,,
APT_FP_2ef59f22_17446927,low,4.1539,0.6
APT_FP_2f86bb93_17434935,none,,
APT_FP_2fc8071b_17447720,low,9.8838,3.6
APT_FP_2fe418b5_17434935,low,9.4141,8.7
APT_FP_30954dec_17447720,none,,
APT_FP_309abe7a_17434935,none,,
APT_FP_31057256_17446927,low,4.8212,0.7
APT_FP_3112b536_17435728,none,,
APT_FP_31aeff96_17446927,low,3.9344,0.6
APT_FP_31b1a97e_17446927,low,3.7957,0.6
APT_FP_31f9518f_17446927,none,,
APT_FP_3295f244_17447720,low,2.6309,0.3
APT_FP_329e69d1_17446927,low,5.9486,1.3
APT_FP_32b30d05_17446927,low,4.8732,0.8
APT_FP_32cdefc4_17447720,none,,
APT_FP_33a78044_17434935,none,,
APT_FP_342e0db4_17447720,none,,
APT_FP_34a27b97_17434935,low,2.8355,1.2
APT_FP_35130c86_17436388,none,,
APT_FP_35503774_17446927,low,2.11,0.6
APT_FP_355c9ef9_17434935,none,,
APT_FP_3576a7c1_17446927,low,4.2379,0.7
APT_FP_36538367_17434935,low,2.1192,0.6
APT_FP_36a5199d_17446927,low,4.507,0.8
APT_FP_372bcaf8_17446927,low,3.2106,0.7
APT_FP_372ff705_17447720,low,0.8675,0.0
APT_FP_38126fa2_17447720,none,,
APT_FP_381bb0f7_17446927,low,3.382,0.5
APT_FP_3853cd1e_17446927,low,9.929,3.2
APT_FP_387a9549_17434935,none,,
APT_FP_38890ffe_17446927,low,4.1432,0.7
APT_FP_38eac5e7_17446927,low,3.28,0.4
APT_FP_392f53d4_17447720,low,25.9132,64.5
APT_FP_39a3d208_17447720,none,,
APT_FP_3a3d58a9_17446927,low,2.8881,0.5
APT_FP_3adb24f1_17446927,low,12.2127,5.7
APT_FP_3b5955ac_17447720,low,9.6463,5.6
APT_FP_3c581f67_17446927,low,6.0293,1.5
APT_FP_3cb7530f_17446927,low,4.6392,1.4
APT_FP_3ce4b698_17447720,none,,
APT_FP_3d8095b0_17434935,low,6.3861,5.8
APT_FP_3d80e888_17446927,none,,
APT_FP_3daaad3e_17438514,none,,
APT_FP_3dbea14f_17435728,none,,
APT_FP_3dce4e1e_17446927,none,,
APT_FP_3dedb1ba_17447720,low,11.7055,5.3
APT_FP_3e29394a_17446927,none,,
APT_FP_3f2f3f1f_17434935,low,6.0695,5.5
APT_FP_3f94d0b4_17446941,none,,
APT_FP_4019c641_17441963,none,,
APT_FP_405b6fe8_17434935,low,8.0092,6.3
APT_FP_40f9111b_17446927,low,4.4891,0.8
APT_FP_4147ea77_17441963,low,4.0509,5.7
APT_FP_418666b6_17446927,low,4.7643,0.9
APT_FP_41b155d8_17446927,low,4.8781,3.4
APT_FP_41b15aa4_17434935,none,,
APT_FP_41d75d3b_17447720,low,11.4725,4.9
APT_FP_432553f7_17447720,low,4.9479,1.4
APT_FP_4381ab6a_17441963,none,,
APT_FP_43ad5964_17434935,none,,
APT_FP_43e0c5ef_17446927,low,3.4644,0.9
APT_FP_43ea3c5b_17434935,none,,
APT_FP_44111b88_17447720,low,10.0319,5.4
APT_FP_4578b3d9_17434935,none,,
APT_FP_457e3e83_17447720,low,3.1254,0.8
APT_FP_45818fee_17446927,none,,
APT_FP_45ca5f45_17441963,none,,
APT_FP_4604886b_17446927,none,,
APT_FP_4606b288_17447720,none,,
APT_FP_4615d9a6_17446927,low,3.8246,0.6
APT_FP_46285039_17446927,none,,
APT_FP_46422e69_17447720,low,7.7344,5.5
APT_FP_466dd276_17446927,none,,
APT_FP_468b908e_17441963,none,,
APT_FP_46c426ed_17434935,low,6.166,5.9
APT_FP_46f9076e_17446927,low,10.8,4.6
APT_FP_47217f55_17446927,low,4.387,0.8
APT_FP_478415fa_17441963,low,7.9469,7.3
APT_FP_48045803_17446927,low,4.2263,0.6
APT_FP_48bd9161_17441963,low,7.0609,20.6
APT_FP_4952b66b_17446927,none,,
APT_FP_49533ed1_17447720,low,0.8739,0.1
APT_FP_495edcbc_17447720,low,7.3987,3.2
APT_FP_496199f3_17446927,low,5.0774,1.0
APT_FP_49710804_17446927,low,4.7643,0.8
APT_FP_4a4f4825_17434935,low,12.8818,10.1
APT_FP_4aa8ca59_17436388,none,,
APT_FP_4abf3dd1_17447720,low,3.0753,0.8
APT_FP_4ae2288d_17446927,low,4.4891,0.7
APT_FP_4afdbf32_17446927,low,4.6038,1.4
APT_FP_4b78aa46_17446927,low,4.8381,0.8
APT_FP_4bb48722_17447720,none,,
APT_FP_4bb6de7f_17447720,none,,
APT_FP_4ca53aaf_17447720,low,9.9111,5.9
APT_FP_4cf1b849_17446927,none,,
APT_FP_4d395742_17447720,low,25.929,64.4
APT_FP_4d400720_17446927,low,3.5856,0.8
APT_FP_4d5d1291_17446927,low,3.808,1.0
APT_FP_4dee39aa_17447720,low,3.6251,0.8
APT_FP_4e619bc9_17446927,low,8.4691,12.8
APT_FP_4e7fe533_17434935,low,2.449,0.8
APT_FP_4eb67041_17447720,low,9.5493,5.4
APT_FP_4ee23c83_17434935,none,,
APT_FP_4f15d317_17434935,none,,
APT_FP_4f85efee_17438514,none,,
APT_FP_4f95ffa7_17434935,none,,
APT_FP_4fc1327e_17438514,none,,
APT_FP_4fc624cf_17446927,none,,
APT_FP_4fcde103_17434935,low,8.5897,10.1
APT_FP_4ff8b3fc_17434935,none,,
APT_FP_50007e7d_17447720,none,,
APT_FP_50162b8c_17446927,low,1.7347,0.1
APT_FP_501c88dd_17446927,none,,
APT_FP_501dde4d_17446941,none,,
APT_FP_50d7eada_17441963,none,,
APT_FP_510a1e1b_17446927,none,,
APT_FP_51c8ca4a_17446927,none,,
APT_FP_51d4f927_17447720,low,9.7022,5.5
APT_FP_51f2fd95_17435728,none,,
APT_FP_5276a8bd_17434935,none,,
APT_FP_52ac5ee5_17434935,none,,
APT_FP_52bbc094_17441963,none,,
APT_FP_5322499c_17434935,none,,
APT_FP_5375c819_17438514,none,,
APT_FP_5390ebd6_17441963,low,9.7938,10.4
APT_FP_53c3be10_17441963,none,,
APT_FP_53cae4e0_17446927,low,3.3199,0.7
APT_FP_53f69c17_17446927,none,,
APT_FP_54010f33_17447720,none,,
APT_FP_545147dc_606853,none,,
APT_FP_54c5f4f3_17434935,none,,
APT_FP_54f5bbc7_17438514,none,,
APT_FP_55a27caf_17438514,none,,
APT_FP_55c34e94_17446927,low,4.859,0.9
APT_FP_56120688_17447720,none,,
APT_FP_561d9f30_17438514,low,16.9442,11.5
APT_FP_56fed2cb_17446941,none,,
APT_FP_571a7309_17434935,none,,
APT_FP_5725bc9a_17434935,none,,
APT_FP_573cb4a5_17446927,none,,
APT_FP_57f3e9ea_17446927,none,,
APT_FP_57f88a91_17447720,none,,
APT_FP_581102e7_17441963,none,,
APT_FP_583ae9ad_17447720,low,4.9771,1.5
APT_FP_59107a09_17446927,low,0.6975,0.0
APT_FP_59bcde2b_17446927,low,6.1853,5.7
APT_FP_59f3df43_17446941,none,,
APT_FP_59ff71e2_17434935,none,,
APT_FP_5a014cbb_17447720,low,8.3505,6.0
APT_FP_5a30a01c_17434935,low,2.8355,1.2
APT_FP_5a3fa0ce_17446927,low,6.0656,3.4
APT_FP_5a40bc7c_17434935,none,,
APT_FP_5a467848_17446927,none,,
APT_FP_5a864c3f_17447720,low,2.0872,0.4
APT_FP_5af41a7b_17446927,low,4.5051,0.8
APT_FP_5b3cf916_17446927,low,6.1174,2.7
APT_FP_5b58c0c5_17446927,low,2.8195,1.2
APT_FP_5b5c3c2f_17447720,low,2.4917,0.7
